Title,Primary Author,Publication,Languages,ISBN,Subjects,Summary,PublisherCountry,AuthorBirthdate,AuthorCountry
Harry Potter and the Sorcerer's Stone,"Rowling, J K",Scholastic Inc.,English,1338878921,Adventure Fiction,,USA,31/07/1965,UK
"Percy Jackson and the Olympians, Book One: The Lightning Thief","Riordan, Rick",Disney Hyperion,English,1368051472,Fantasy fiction,,USA,05/06/1964,USA
Percy Jackson and the Olympians: The Chalice of the Gods,"Riordan, Rick",Disney Hyperion,English,1368098177,,,USA,05/06/1964,USA
Gordon Ramsay's Home Cooking: Everything You Need to Know to Make Fabulous Food,"Ramsay, Gordon",Grand Central Publishing,English,1455525251,,,USA,08/11/1966,UK
The Science of Cooking: Every Question Answered to Perfect Your Cooking,"Farrimond, Dr. Stuart",DK,English,1465463690,,,UK,,UK
Shantaram: A Novel,"Roberts, Gregory David",St. Martin's Griffin,English,312330537,Autobiographical fiction,,USA,21/06/1952,Australia
?????? ?????? ??????? ???,Jan-Philipp Sendker,Modan,Hebrew,9655450864,,,Israel,28/01/1960,Germany
The Call of the Wild,"London, Jack",,English,167334951X,Adventure Fiction,,,12/01/1876,USA
White Fang,"London, Jack",,English,1505313104,Adventure Fiction,"White Fang is part dog, part wolf - and the only one of five tiny cubs to survive. In his lonely world, he soon learns to follow the harsh law of the North - kill or be killed. But nothing in White Fang's life can prepare him for the cruel owner who buys him and turns him into a vicious killer - a pit dog forced to fight for money. Will White Fang ever know the kindness of a gentle master or will he die a fierce killer?",,12/01/1876,USA
White Fang: 100th Anniversary Collection,"London, Jack",SeaWolf Press,English,1948132257,Adventure Fiction,"White Fang is part dog, part wolf - and the only one of five tiny cubs to survive. In his lonely world, he soon learns to follow the harsh law of the North - kill or be killed. But nothing in White Fang's life can prepare him for the cruel owner who buys him and turns him into a vicious killer - a pit dog forced to fight for money. Will White Fang ever know the kindness of a gentle master or will he die a fierce killer?",USA,12/01/1876,USA
Mistborn: The Final Empire,"Sanderson, Brandon",Tor Books,English,076531178X,Fantasy fiction,,USA,19/12/1975,USA
The Hero of Ages,"Sanderson, Brandon",Tor Books,English,765316897,Fantasy fiction,,USA,19/12/1975,USA
Brisingr: Book III,"Paolini, Christopher",Knopf Books for Young Readers,English,375891412,Fantasy fiction,,USA,17/11/1973,USA
Words of Radiance: Book Two of the Stormlight Archive,"Sanderson, Brandon",Tor Books,English,1250166535,,,USA,19/12/1975,USA
Rhythm of War: Book Four of the Stormlight Archive,"Sanderson, Brandon",Tor Books,English,1250757304,Fantasy fiction,"After forming a coalition of human resistance against the enemy invasion, Dalinar Kholin and his Knights Radiant have spent a year fighting a protracted, brutal war. Neither side has gained an advantage, and the threat of a betrayal by Dalinar's crafty ally Taravangian looms over every strategic move.
Now, as new technological discoveries by Navani Kholin's scholars begin to change the face of the war, the enemy prepares a bold and dangerous operation. The arms race that follows will challenge the very core of the Radiant ideals, and potentially reveal the secrets of the ancient tower that was once the heart of their strength.
At the same time that Kaladin Stormblessed must come to grips with his changing role within the Knights Radiant, his Windrunners face their own problem: As more and more deadly enemy Fused awaken to wage war, no more honorspren are willing to bond with humans to increase the number of Radiants. Adolin and Shallan must lead the coalition's envoy to the honorspren stronghold of Lasting Integrity and either convince the spren to join the cause against the evil god Odium, or personally face the storm of failure.",USA,19/12/1975,USA
On the Road,"Kerouac, Jack",Penguin Classics,English,9780240000000,Autobiographical fiction,"On the Road chronicles Jack Kerouac's years traveling the North American continent with his friend Neal Cassady, ""a sideburned hero of the snowy West."" As ""Sal Paradise"" and ""Dean Moriarty,"" the two roam the country in a quest for self-knowledge and experience. Kerouac's love of America, his compassion for humanity, and his sense of language as jazz combine to make On the Road an inspirational work of lasting importance.",UK,12/03/1922,USA
On the Road: The Original Scroll (Penguin Classics Deluxe Edition),"Kerouac, Jack",Penguin Classics,English,143105469,Autobiographical fiction,"Presents the previously unpublished original scroll edition of Jack Kerouac's novel ""On the Road"" which Kerouac wrote over a three-week period in 1951 on eight sheets of tracing paper that he taped together to form a 120-foot scroll. Includes the real names of the friends that inspired the book's storyline.",UK,12/03/1922,USA
Ramsay in 10: Delicious Recipes Made in a Flash,"Ramsay, Gordon",Hodder & Stoughton,English,1529364388,,"Superstar chef, Gordon Ramsay, returns with 100 new and delicious recipes inspired by his YouTube series. Whether you need something super quick to assemble, like his Microwave Sticky Toffee Pudding, or you're looking to impress the whole family, with a tasty One Pan Pumpkin Pasta or some Chicken Souvlaki - these are recipes guaranteed to become instant classics and with each time you cook, you'll get faster and faster with Gordon's shortcuts to speed up your cooking, reduce your prep times and get the very best from simple, fresh ingredients.",UK,08/11/1966,UK
Table for Two: Recipes for the Ones You Love,"Graham, Bre",DK,English,744069599,,"""Whether it's your mum, your best friend, or your significant other, sweep the person you love off their feet with failsafe recipes for show-off meals for two""-- ""In her first book, food writer Bre Graham guides you through the moments you want to set the table and cook for someone you love, whether that's your mom, your significant other, or your best friend. From lazy, laid-back breakfasts to breathtaking, multicourse menus, Table for Two is a collection of fail-safe recipes for spectacular meals for two.""",UK,03/08/1993,UK
